date,max_wind_speed,mean_wind_speed,precipitation_height,precipitation_catgeory,mean_temperature,max_temperature,min_temperature
20230927,6.2,2.0,0.0,0,17.8,24.4,10.8
20230928,8.7,2.8,0.0,6,18.2,23.3,14.9
20230929,14.1,3.8,0.1,6,18.2,23.8,11.5
20230930,12.7,3.7,0.0,0,14.6,18.9,11.6
20231001,8.6,3.0,1.5,6,15.4,17.9,13.1
20231002,8.6,2.7,0.0,0,18.5,23.0,14.3
20231003,17.7,5.9,4.0,6,15.9,21.8,12.4
20231004,12.3,5.8,0.4,6,14.4,18.0,12.1
20231005,12.2,4.9,7.7,6,14.3,17.8,11.6
20231006,13.4,6.4,9.8,6,14.8,17.5,12.9
20231007,12.5,4.0,15.9,6,13.4,16.6,10.2
20231008,5.3,1.8,2.6,6,11.6,15.3,8.5
20231009,7.2,3.0,-999.0,6,11.7,14.7,9.1
20231010,8.9,3.3,-999.0,6,15.4,18.7,12.2
20231011,13.9,5.9,-999.0,6,16.3,18.4,13.6
20231012,10.8,2.6,-999.0,6,12.4,15.9,8.7
20231013,20.1,7.0,-999.0,6,17.1,21.0,12.1
20231014,21.3,5.6,-999.0,6,10.8,17.1,6.3
20231015,12.3,4.3,-999.0,6,6.8,10.0,5.4
20231016,8.2,2.6,0.0,6,7.6,11.5,4.5
20231017,5.0,1.1,0.0,0,7.7,13.2,1.7
20231018,13.2,3.7,1.3,6,6.8,11.7,0.8
20231019,12.9,6.3,7.8,6,7.5,8.5,6.6
20231020,19.0,8.3,21.9,6,6.3,7.3,5.6
20231021,9.3,3.4,5.7,6,8.4,12.3,5.7
20231022,11.8,4.2,0.0,6,10.4,13.7,7.5
20231023,6.2,2.2,0.7,6,9.0,14.5,4.2
20231024,8.2,3.5,0.2,6,10.9,12.6,7.5
20231025,8.1,3.3,0.0,0,9.8,14.5,5.7
20231026,8.1,3.3,0.0,6,10.0,11.9,8.9
20231027,7.2,3.5,3.1,6,8.9,10.0,7.9
20231028,8.7,3.5,7.0,6,9.1,10.9,7.6
20231029,14.4,5.9,1.9,6,12.3,16.4,8.9
20231030,12.9,5.2,6.1,6,12.2,14.8,10.2
20231031,14.6,3.7,10.2,6,8.6,12.1,3.2
20231101,9.3,4.2,0.6,6,9.4,12.6,5.1
20231102,15.8,7.3,0.0,6,11.3,13.0,8.6
20231103,14.7,6.5,0.0,0,9.9,11.9,7.5
20231104,13.2,6.3,2.1,6,8.4,11.5,5.2
20231105,11.3,4.1,4.8,6,9.5,11.2,7.8
20231106,14.1,6.5,0.3,6,9.9,11.6,8.2
20231107,11.8,6.0,0.5,6,9.4,11.7,7.3
20231108,14.6,6.4,1.8,6,9.2,11.4,7.9
20231109,10.8,5.4,2.8,6,9.2,11.3,7.4
